,,,Date,Sale Amount,Deed Type,Book/Page,Sale Type,Qualified,Built,Bed,Bath,Living,Acres,Pool,,
,Subdivision: SUTTON PLACE TOWNHOMES A REPLAT - 65 items,,,,,,,,,,,,,,,
,,Parcel #: 16-21-29-531-0000-0010 - 1 item,,,,,,,,,,,,,,
,,,Address: 201 MAPLEBROOK DR - 2 items,,,,,,,,,,,,,
,,,07/2016,"$220,000",WARRANTY DEED,08733/1366,Improved,Yes,2009,3,2.5,2286,0.03,false,,
,,,08/2009,"$206,100",WARRANTY DEED,07241/0599,Improved,Yes,2009,3,2.5,2286,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0020 - 1 item,,,,,,,,,,,,,,
,,,Address: 203 MAPLEBROOK DR - 2 items,,,,,,,,,,,,,
,,,08/2009,"$207,800",WARRANTY DEED,07238/1113,Improved,Yes,2009,3,2.5,2176,0.03,false,,
,,,04/2018,"$236,700",WARRANTY DEED,09126/0227,Improved,Yes,2009,3,2.5,2176,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0030 - 1 item,,,,,,,,,,,,,,
,,,Address: 205 MAPLEBROOK DR - 2 items,,,,,,,,,,,,,
,,,09/2009,"$196,000",WARRANTY DEED,07264/0816,Improved,Yes,2009,3,2.5,2176,0.03,false,,
,,,12/2019,"$248,000",WARRANTY DEED,09511/0829,Improved,Yes,2009,3,2.5,2176,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0040 - 1 item,,,,,,,,,,,,,,
,,,Address: 207 MAPLEBROOK DR - 3 items,,,,,,,,,,,,,
,,,08/2009,"$224,500",WARRANTY DEED,07241/0577,Improved,Yes,2009,3,2.5,2286,0.03,false,,
,,,04/2013,$100,SPECIAL WARRANTY DEED,08034/0686,Improved,No,2009,3,2.5,2286,0.03,false,,
,,,03/2014,"$215,000",TRUSTEE DEED,08248/0181,Improved,No,2009,3,2.5,2286,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0050 - 1 item,,,,,,,,,,,,,,
,,,Address: 215 MAPLEBROOK DR - 3 items,,,,,,,,,,,,,
,,,06/2013,"$186,000",WARRANTY DEED,08071/1471,Improved,No,2009,3,2.5,2286,0.03,false,,
,,,11/2009,"$208,400",WARRANTY DEED,07286/1377,Improved,Yes,2009,3,2.5,2286,0.03,false,,
,,,09/2020,"$245,000",WARRANTY DEED,09726/1143,Improved,Yes,2009,3,2.5,2286,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0060 - 1 item,,,,,,,,,,,,,,
,,,Address: 217 MAPLEBROOK DR - 4 items,,,,,,,,,,,,,
,,,01/2015,"$203,000",WARRANTY DEED,08395/1026,Improved,Yes,2009,3,2.5,2176,0.03,false,,
,,,03/2013,$100,QUIT CLAIM DEED,08033/0500,Improved,No,2009,3,2.5,2176,0.03,false,,
,,,11/2009,"$200,700",WARRANTY DEED,07286/1395,Improved,Yes,2009,3,2.5,2176,0.03,false,,
,,,05/2022,$100,WARRANTY DEED,10242/0302,Improved,No,2009,3,2.5,2176,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0070 - 1 item,,,,,,,,,,,,,,
,,,Address: 219 MAPLEBROOK DR - 2 items,,,,,,,,,,,,,
,,,04/2010,"$179,600",WARRANTY DEED,07366/1389,Improved,Yes,2009,3,2.5,2176,0.03,false,,
,,,10/2022,"$380,000",WARRANTY DEED,10353/1529,Improved,Yes,2009,3,2.5,2176,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0080 - 1 item,,,,,,,,,,,,,,
,,,Address: 221 MAPLEBROOK DR - 3 items,,,,,,,,,,,,,
,,,12/2009,"$198,400",WARRANTY DEED,07308/0793,Improved,Yes,2009,3,2.5,2286,0.03,false,,
,,,10/2017,"$232,000",WARRANTY DEED,09059/1759,Improved,Yes,2009,3,2.5,2286,0.03,false,,
,,,12/2017,"$232,000",WARRANTY DEED,09059/1762,Improved,Yes,2009,3,2.5,2286,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0090 - 1 item,,,,,,,,,,,,,,
,,,Address: 223 MAPLEBROOK DR - 2 items,,,,,,,,,,,,,
,,,11/2013,"$218,000",SPECIAL WARRANTY DEED,08158/0658,Improved,Yes,2010,3,2.5,2286,0.03,false,,
,,,04/2010,"$212,100",WARRANTY DEED,07362/0764,Improved,Yes,2010,3,2.5,2286,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0100 - 1 item,,,,,,,,,,,,,,
,,,Address: 225 MAPLEBROOK DR - 3 items,,,,,,,,,,,,,
,,,12/2016,"$228,000",WARRANTY DEED,08842/0382,Improved,Yes,2010,3,2.5,2176,0.03,false,,
,,,04/2010,"$188,900",WARRANTY DEED,07377/1316,Improved,Yes,2010,3,2.5,2176,0.03,false,,
,,,11/2020,"$272,500",WARRANTY DEED,09768/0809,Improved,Yes,2010,3,2.5,2176,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0110 - 1 item,,,,,,,,,,,,,,
,,,Address: 227 MAPLEBROOK DR - 3 items,,,,,,,,,,,,,
,,,08/2016,"$197,000",WARRANTY DEED,08745/1809,Improved,Yes,2010,3,3.5,1962,0.03,false,,
,,,08/2010,"$166,500",SPECIAL WARRANTY DEED,07431/1478,Improved,Yes,2010,3,3.5,1962,0.03,false,,
,,,05/2020,"$241,000",WARRANTY DEED,09598/0073,Improved,Yes,2010,3,3.5,1962,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0120 - 1 item,,,,,,,,,,,,,,
,,,Address: 229 MAPLEBROOK DR - 1 item,,,,,,,,,,,,,
,,,12/2010,"$168,500",WARRANTY DEED,07496/0459,Improved,Yes,2010,3,3.5,1962,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0130 - 1 item,,,,,,,,,,,,,,
,,,Address: 231 MAPLEBROOK DR - 2 items,,,,,,,,,,,,,
,,,04/2010,"$183,900",WARRANTY DEED,07368/1227,Improved,Yes,2010,3,2.5,2176,0.03,false,,
,,,02/2018,"$235,000",WARRANTY DEED,09087/0093,Improved,Yes,2010,3,2.5,2176,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0140 - 1 item,,,,,,,,,,,,,,
,,,Address: 233 MAPLEBROOK DR - 1 item,,,,,,,,,,,,,
,,,04/2010,"$197,400",WARRANTY DEED,07368/1255,Improved,Yes,2010,3,2.5,2286,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0150 - 1 item,,,,,,,,,,,,,,
,,,Address: 232 MAPLEBROOK DR - 2 items,,,,,,,,,,,,,
,,,10/2016,"$199,000",WARRANTY DEED,08782/0916,Improved,Yes,2010,3,2.5,1708,0.03,false,,
,,,08/2011,"$144,300",SPECIAL WARRANTY DEED,07625/1252,Improved,Yes,2010,3,2.5,1708,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0160 - 1 item,,,,,,,,,,,,,,
,,,Address: 230 MAPLEBROOK DR - 2 items,,,,,,,,,,,,,
,,,03/2011,"$131,300",SPECIAL WARRANTY DEED,07542/0053,Improved,Yes,2010,3,2.5,1572,0.03,false,,
,,,12/2017,"$200,000",WARRANTY DEED,09051/0812,Improved,Yes,2010,3,2.5,1572,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0170 - 1 item,,,,,,,,,,,,,,
,,,Address: 228 MAPLEBROOK DR - 2 items,,,,,,,,,,,,,
,,,03/2011,"$135,100",SPECIAL WARRANTY DEED,07551/1335,Improved,Yes,2010,3,2.5,1572,0.03,false,,
,,,06/2018,"$201,000",WARRANTY DEED,09148/1289,Improved,Yes,2010,3,2.5,1572,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0180 - 1 item,,,,,,,,,,,,,,
,,,Address: 226 MAPLEBROOK DR - 2 items,,,,,,,,,,,,,
,,,06/2014,"$184,900",WARRANTY DEED,08290/0098,Improved,Yes,2010,3,2.5,1708,0.03,false,,
,,,01/2011,"$138,000",SPECIAL WARRANTY DEED,07523/1293,Improved,Yes,2010,3,2.5,1708,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0190 - 1 item,,,,,,,,,,,,,,
,,,Address: 220 SILVERGLEN LN - 3 items,,,,,,,,,,,,,
,,,06/2015,$100,TRUSTEE DEED,08492/0681,Improved,No,2011,3,2.5,1708,0.03,false,,
,,,01/2015,$100,WARRANTY DEED,08396/1523,Improved,No,2011,3,2.5,1708,0.03,false,,
,,,11/2011,"$146,000",SPECIAL WARRANTY DEED,07664/1725,Improved,Yes,2011,3,2.5,1708,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0200 - 1 item,,,,,,,,,,,,,,
,,,Address: 222 SILVERGLEN LN - 4 items,,,,,,,,,,,,,
,,,12/2011,"$137,257",SPECIAL WARRANTY DEED,07686/1380,Improved,Yes,2011,3,2.5,1572,0.03,false,,
,,,09/2018,"$203,000",WARRANTY DEED,09220/0143,Improved,Yes,2011,3,2.5,1572,0.03,false,,
,,,11/2023,"$317,200",WARRANTY DEED,10544/1416,Improved,Yes,2011,3,2.5,1572,0.03,false,,
,,,03/2024,"$333,000",WARRANTY DEED,10592/1936,Improved,Yes,2011,3,2.5,1572,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0210 - 1 item,,,,,,,,,,,,,,
,,,Address: 224 SILVERGLEN LN - 3 items,,,,,,,,,,,,,
,,,11/2011,"$142,500",SPECIAL WARRANTY DEED,07664/1212,Improved,Yes,2011,3,2.5,1572,0.03,false,,
,,,03/2016,"$186,000",WARRANTY DEED,08664/1176,Improved,Yes,2011,3,2.5,1572,0.03,false,,
,,,08/2020,"$244,900",WARRANTY DEED,09686/0931,Improved,Yes,2011,3,2.5,1572,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0220 - 1 item,,,,,,,,,,,,,,
,,,Address: 226 SILVERGLEN LN - 7 items,,,,,,,,,,,,,
,,,10/2015,"$12,600",CERTIFICATE OF TITLE,08576/0080,Improved,No,2011,3,2.5,1708,0.03,false,,
,,,01/2014,"$9,200",CERTIFICATE OF TITLE,08199/0740,Improved,No,2011,3,2.5,1708,0.03,false,,
,,,11/2011,"$154,100",SPECIAL WARRANTY DEED,07664/1198,Improved,Yes,2011,3,2.5,1708,0.03,false,,
,,,08/2017,"$200,000",SPECIAL WARRANTY DEED,08975/0921,Improved,Yes,2011,3,2.5,1708,0.03,false,,
,,,07/2020,"$240,000",WARRANTY DEED,09668/1855,Improved,Yes,2011,3,2.5,1708,0.03,false,,
,,,09/2021,"$273,200",WARRANTY DEED,10038/1024,Improved,Yes,2011,3,2.5,1708,0.03,false,,
,,,10/2021,"$292,000",WARRANTY DEED,10086/1965,Improved,Yes,2011,3,2.5,1708,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0230 - 1 item,,,,,,,,,,,,,,
,,,Address: 223 SILVERGLEN LN - 3 items,,,,,,,,,,,,,
,,,12/2015,"$189,000",WARRANTY DEED,08606/1103,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,,08/2012,"$150,600",SPECIAL WARRANTY DEED,07833/1011,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,,03/2020,"$255,000",WARRANTY DEED,09564/1963,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0240 - 1 item,,,,,,,,,,,,,,
,,,Address: 221 SILVERGLEN LN - 1 item,,,,,,,,,,,,,
,,,08/2012,"$136,500",SPECIAL WARRANTY DEED,07833/1009,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0250 - 1 item,,,,,,,,,,,,,,
,,,Address: 219 SILVERGLEN LN - 2 items,,,,,,,,,,,,,
,,,08/2016,"$186,000",WARRANTY DEED,08759/0700,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,,08/2012,"$142,500",SPECIAL WARRANTY DEED,07835/0419,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0260 - 1 item,,,,,,,,,,,,,,
,,,Address: 217 SILVERGLEN LN - 2 items,,,,,,,,,,,,,
,,,08/2012,"$143,700",SPECIAL WARRANTY DEED,07832/1162,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,,06/2020,"$58,700",WARRANTY DEED,09618/1532,Improved,No,2012,3,2.5,1708,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0270 - 1 item,,,,,,,,,,,,,,
,,,Address: 1070 WINGLEWOOD ST - 3 items,,,,,,,,,,,,,
,,,06/2012,"$151,000",SPECIAL WARRANTY DEED,07808/1859,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,,09/2015,"$188,900",WARRANTY DEED,08562/1233,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,,06/2019,"$220,000",WARRANTY DEED,09377/1476,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0280 - 1 item,,,,,,,,,,,,,,
,,,Address: 1068 WINGLEWOOD ST - 4 items,,,,,,,,,,,,,
,,,11/2015,"$169,000",WARRANTY DEED,08580/0763,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,,11/2015,$100,CORRECTIVE DEED,08605/1038,Improved,No,2012,3,2.5,1572,0.03,false,,
,,,06/2012,"$145,000",SPECIAL WARRANTY DEED,07808/1873,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,,07/2018,"$207,500",WARRANTY DEED,09190/0326,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0290 - 1 item,,,,,,,,,,,,,,
,,,Address: 1066 WINGLEWOOD ST - 1 item,,,,,,,,,,,,,
,,,06/2012,"$131,500",SPECIAL WARRANTY DEED,07789/0696,Improved,Yes,2012,2,2.5,1443,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0300 - 1 item,,,,,,,,,,,,,,
,,,Address: 1064 WINGLEWOOD ST - 3 items,,,,,,,,,,,,,
,,,03/2016,"$175,000",WARRANTY DEED,08668/1173,Improved,Yes,2012,2,2.5,1443,0.03,false,,
,,,10/2014,"$155,000",WARRANTY DEED,08358/0512,Improved,Yes,2012,2,2.5,1443,0.03,false,,
,,,06/2012,"$127,700",SPECIAL WARRANTY DEED,07789/0682,Improved,Yes,2012,2,2.5,1443,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0310 - 1 item,,,,,,,,,,,,,,
,,,Address: 1062 WINGLEWOOD ST - 7 items,,,,,,,,,,,,,
,,,06/2012,"$141,200",SPECIAL WARRANTY DEED,07788/0177,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,,09/2018,"$200,000",WARRANTY DEED,09222/0845,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,,11/2018,"$209,500",WARRANTY DEED,09263/1288,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,,08/2021,"$274,300",WARRANTY DEED,10019/1289,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,,10/2021,"$275,500",SPECIAL WARRANTY DEED,10074/1751,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,,11/2021,$100,WARRANTY DEED,10087/1432,Improved,No,2012,3,2.5,1572,0.03,false,,
,,,11/2022,"$325,000",WARRANTY DEED,10363/1220,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0320 - 1 item,,,,,,,,,,,,,,
,,,Address: 1060 WINGLEWOOD ST - 3 items,,,,,,,,,,,,,
,,,06/2012,"$141,500",SPECIAL WARRANTY DEED,07788/0179,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,,06/2019,"$218,000",WARRANTY DEED,09378/0443,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,,02/2020,$100,CORRECTIVE DEED,09543/0068,Improved,No,2012,3,2.5,1708,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0330 - 1 item,,,,,,,,,,,,,,
,,,Address: 215 STARDALE LN - 4 items,,,,,,,,,,,,,
,,,04/2016,"$198,000",WARRANTY DEED,08674/0091,Improved,Yes,2012,3,2.5,1708,0.03,false,,
